npdes_id,frs_id,city,state,zip,watershed_huc12,latitude,longitude,facility_type,major_minor_facility,cso_outfall_count,median_household_income,poverty_rate,white_alone
NY0030899,110009692467,WATERVLIET,NY,12189-2846,20200060302,42.707361,-73.704778,POTW,N,5,43803,18.7,75
NY0026689,110039562327,YONKERS,NY,10705,20301010404,40.918972,-73.910639,POTW,M,12,63849,14.9,52
OH0023833,110001625340,AKRON,OH,44313-4710,41100020405,41.157258,-81.565423,POTW,M,38,38739,23.5,59.9
OH0023884,110006195090,ANSONIA,OH,45303,50800010905,40.220168,-84.628705,POTW,N,2,50781,19.2,99.9
OH0020940,110006238231,ARCANUM,OH,45304,50800011302,39.98645,-84.55095,POTW,N,14,56750,9.3,96.6
OH0023981,110000737551,AVON LAKE,OH,44012,41100010603,41.49972,-82.05802,POTW,M,10,83018,5.1,95.1
OH0049999,110000762050,BELLAIRE,OH,43906-9521,50301061205,40.070764,-80.750599,POTW,M,47,30257,26.8,91.5
OH0020851,110015744989,BLUFFTON,OH,45817,41000080404,40.89766,-83.88745,POTW,M,2,74318,4.5,94.1
OH0024139,110002321005,BOWLING GREEN,OH,43402,41000100301,41.385022,-83.611078,POTW,M,1,37346,33,86.9
OH0020192,110009162841,BRADFORD,OH,45308,50800011204,40.138125,-84.42769,POTW,N,9,51895,10.6,98.5
OH0021491,110010577321,BREMEN,OH,43107,50302040401,39.7155,-82.6167,POTW,N,1,56917,12,95.7
OH0052922,110004722578,BUCYRUS,OH,44820,41000110403,40.79738,-82.99308,POTW,M,22,41314,13.2,96.9
OH0020559,110008579261,CALDWELL,OH,43724,50302010901,39.7478,-81.521,POTW,N,22,34625,18.4,96.6
OH0105457,110009661302,CINCINNATI,OH,45215-5222,50902030102,39.213058,-84.486267,NON-POTW,N,215,40640,26.3,50.7
OH0043991,110017611645,CLEVELAND,OH,44115-2504,41100030504,41.503374,-81.660014,POTW,N,126,30907,32.7,40
OH0024686,110002321023,CLYDE,OH,43410,41000110204,41.31545,-82.98541,POTW,M,3,53489,13.5,93.7
OH0024732,110000545456,COLUMBUS,OH,43223,50600012302,39.91296,-83.01746,POTW,M,31,53745,19.5,58.6
OH0024759,110009639766,COLUMBUS GROVE,OH,45830,41000070502,40.91913,-84.05659,POTW,N,4,54353,9.6,94.4
OH0020664,110002451935,CRESTLINE,OH,44827,41000110401,40.79554,-82.7504,POTW,M,1,40321,22,90.7
OH0024899,110000544082,DEFIANCE,OH,43512-8961,41000090201,41.289722,-84.318333,POTW,M,44,49628,15,85.1
OH0024929,110006645229,DELPHOS,OH,45833,41000070903,40.85241,-84.34956,POTW,M,6,50571,9.1,94.2
OH0020974,110006322247,DELTA,OH,43515,41000090302,41.56821,-84.003008,POTW,N,9,64031,7.9,91.7
OH0022471,110009823156,DESHLER,OH,43516,41000090505,41.20812,-83.89046,POTW,N,7,45272,18.5,91.9
OH0048321,110011016818,DUNKIRK,OH,45836-1065,41000080103,40.78945,-83.64345,POTW,N,6,36667,30.7,91.7
OH0025003,110009489213,ELYRIA,OH,44035-1752,41100010602,41.404167,-82.086944,POTW,M,27,44324,23.1,76.4
OH0031062,110009489561,EUCLID,OH,44123-1714,41100030502,41.613968,-81.529574,POTW,M,18,38242,21.8,34.3
OH0025127,110009823003,FAYETTE,OH,43521,41000060202,41.6826,-84.1931,POTW,N,15,46571,13.9,89.3
OH0025135,110000573727,FINDLAY,OH,45840-2557,41000080304,41.04809,-83.66843,POTW,M,18,51002,13.3,88.6
OH0025151,110006202732,FOREST,OH,45843,41000080104,40.799168,-83.505409,POTW,N,3,42434,11.1,98.7
OH0052744,110002321103,FOSTORIA,OH,44830-1350,41000100202,41.17456,-83.424,POTW,M,5,39688,27.2,89.3
OH0025291,110002345463,FREMONT,OH,43420-1950,41000111302,41.35739,-83.10408,POTW,M,13,41305,17.9,84.4
OH0025160,110008613875,FT RECOVERY,OH,45846,51201010102,40.417597,-84.774915,POTW,N,4,63077,11.6,98.9
OH0029122,110009822807,GIBSONBURG,OH,43431,41000100401,41.39182,-83.32591,POTW,N,3,50227,15.4,88.9
OH0025364,110002463986,GIRARD,OH,44420-2598,50301030705,41.15496,-80.70288,POTW,M,4,40543,17.1,92.6
OH0022578,110008604769,GREEN SPRINGS,OH,44836,41000111203,41.25987,-83.05606,POTW,N,1,56926,6.5,95.1
OH0020486,110010573566,GREENWICH,OH,44837,41000120103,41.03221,-82.52392,POTW,N,10,45156,14.7,98.7
OH0021105,110009152754,HAMLER,OH,43524,41000090102,41.2436,-84.0239,POTW,N,6,51726,5.3,91.9
OH0025771,110006329026,HICKSVILLE,OH,43526,41000050204,41.28825,-84.7604,POTW,M,5,61910,9.8,92.2
OH0025852,110002452051,IRONTON,OH,45638-1631,50901030105,38.54006,-82.69224,POTW,M,9,35666,22.4,93.7
OH0026018,110000737588,LAKEWOOD,OH,44107,41100010203,41.47908,-81.8249,POTW,M,9,53290,14,87.7
OH0026026,110000550458,LANCASTER,OH,43130-9401,50302040402,39.7091,-82.58537,POTW,M,31,43720,18.5,93.3
OH0020826,110006700285,LEIPSIC,OH,45856,41000090504,41.1043,-83.9769,POTW,N,1,42097,20.3,61.2
OH0026069,110000760659,LIMA,OH,45804-1808,41000070306,40.72298,-84.12747,POTW,M,19,35799,24.3,64.8
OH0126268,110009674254,LISBON,OH,44432-1302,50301010403,40.77249,-80.76723,POTW,N,9,29659,29.3,94.1
OH0024741,110000551251,LOCKBOURNE,OH,43137-9202,50600011603,39.81808,-82.99926,POTW,M,1,47500,26.7,100
OH0058971,110008595626,LUCKEY,OH,43443,41000100601,41.465167,-83.483139,POTW,N,4,70417,0.8,96.3
